Models,Feature,Importance
Random Forest,chroma_stft,0.021855995019983664
Random Forest,rmse,0.035766660241892255
Random Forest,spectral_centroid,0.02114797814043639
Random Forest,spectral_bandwidth,0.0291999318035938
Random Forest,rolloff,0.026659057353172866
Random Forest,zero_crossing_rate,0.02233426417448587
Random Forest,mfcc1,0.026610410078358272
Random Forest,mfcc2,0.02408052181776652
Random Forest,mfcc3,0.03750416575697439
Random Forest,mfcc4,0.02254754764200405
Random Forest,mfcc5,0.023109410302961896
Random Forest,mfcc6,0.02450290266759297
Random Forest,mfcc7,0.021961233075997077
Random Forest,mfcc8,0.026598499837028108
Random Forest,mfcc9,0.022126499544121384
Random Forest,mfcc10,0.021336346460223216
Random Forest,mfcc11,0.016169933469416885
Random Forest,mfcc12,0.02341062437552214
Random Forest,mfcc13,0.027923361492518825
Random Forest,mfcc14,0.021033505799017485
Random Forest,mfcc15,0.025074204709349804
Random Forest,mfcc16,0.021531845847101914
Random Forest,mfcc17,0.018686799414954526
Random Forest,mfcc18,0.018131243223524857
Random Forest,mfcc19,0.021792234578970043
Random Forest,mfcc20,0.022539560318299703
Random Forest,G,0.0033977103206497615
Random Forest,A,0.32988732330786086
Random Forest,mean_mfcc,0.021164783413513782
Random Forest,std_mfcc,0.021915445812706717
XGBoost,chroma_stft,0.020717594772577286
XGBoost,rmse,0.04307002201676369
XGBoost,spectral_centroid,0.025493448600172997
XGBoost,spectral_bandwidth,0.02983671799302101
XGBoost,rolloff,0.02396097034215927
XGBoost,zero_crossing_rate,0.01648637466132641
XGBoost,mfcc1,0.0212852880358696
XGBoost,mfcc2,0.03183874860405922
XGBoost,mfcc3,0.019317567348480225
XGBoost,mfcc4,0.022821296006441116
XGBoost,mfcc5,0.021854236721992493
XGBoost,mfcc6,0.034916169941425323
XGBoost,mfcc7,0.023340897634625435
XGBoost,mfcc8,0.022344419732689857
XGBoost,mfcc9,0.027554558590054512
XGBoost,mfcc10,0.019982576370239258
XGBoost,mfcc11,0.020509101450443268
XGBoost,mfcc12,0.021764233708381653
XGBoost,mfcc13,0.029790397733449936
XGBoost,mfcc14,0.028346790000796318
XGBoost,mfcc15,0.019538166001439095
XGBoost,mfcc16,0.016950760036706924
XGBoost,mfcc17,0.01915886066854
XGBoost,mfcc18,0.022013098001480103
XGBoost,mfcc19,0.01816421002149582
XGBoost,mfcc20,0.01839904859662056
XGBoost,G,0.0952942967414856
XGBoost,A,0.23079822957515717
XGBoost,mean_mfcc,0.025941304862499237
XGBoost,std_mfcc,0.028510620817542076
